Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,463,-13,-5,-13,-7,-8,-3,13,-8,-3,15,-7,7,25,-7,5,-12,-3,,,,,
,-10,-5,1,10,5,7,-11,-1,-4,-2,,-6,-3,-10,4,-10,2,-3,,,,,
,2703,-10,2,8,3,6,-1,-9,15,-1,1,6,-8,-7,-2,-3,6,-6,,,,,
,-2696,-5,-5,5,13,-3,22,24,10,9,-1,-2,-8,-10,-12,,-1,2,,,,,
,-83,-5,9,,4,9,2,-17,2,9,-8,-11,8,5,4,2,3,7,,,,,
,25,32,11,-4,,-3,-6,-10,-6,-3,5,,-1,-7,7,-4,-10,-1,,,,,
,-153,-13,-4,7,-2,-3,-7,10,-9,2,5,11,,16,2,-4,,-6,,,,,
,180,,-6,-9,2,7,-6,5,-3,-8,-2,10,7,-1,7,-4,1,2,,,,,
,4563,,4,-4,-13,-6,3,3,-10,5,-5,-18,7,-6,1,11,17,6,,,,,
,-3890,1,-11,2,4,-8,-1,-6,-5,-2,3,1,-2,8,-3,10,-7,1,,,,,
,-689,,10,-13,5,8,-8,-7,5,-14,-10,3,-2,-8,,6,-8,,,,,,
,-22,-18,-4,8,-3,-8,11,8,4,3,1,9,-8,-10,,-4,-10,-3,,,,,
,190,-11,2,,-5,-1,8,-3,-4,3,-2,,-4,9,-8,-17,9,-5,,,,,
,-195,11,7,6,,5,-9,-1,3,-1,5,,11,13,2,5,,-1,,,,,
,1131,-10,5,6,4,-4,-3,13,8,7,8,-17,-6,-2,4,1,-4,-4,,,,,
,-1596,-17,-13,-9,,4,6,-11,5,-2,7,5,-1,-8,1,9,-8,4,,,,,
,315,27,-10,3,9,3,5,1,-6,,-7,20,3,6,10,10,3,9,,,,,
,20,,17,4,-3,,-3,3,-5,-13,-6,-13,-6,,-2,-15,-5,-4,,,,,
,134,,,,,,-5,1,-9,19,-1,-6,1,-6,3,-5,-1,2,,,,,
,344,-44,-2,-2,-3,-11,-5,-11,-1,-11,-13,-2,,7,-20,10,15,2,,,,,
,-455,34,-14,-6,-4,6,-2,2,8,-3,6,4,-21,1,-2,-14,6,-3,,,,,
,-266,-30,7,5,10,7,8,5,-4,10,7,5,12,-6,6,-1,-10,-1,,,,,
,1906,-4,5,,-10,,-2,-9,1,-7,7,3,2,2,5,10,-2,4,,,,,
,-1736,33,-10,2,14,-1,-2,12,16,2,2,-6,4,3,1,-2,10,7,,,,,
,-125,-36,,9,,-4,2,-10,-6,9,8,3,11,-10,-7,2,-2,3,,,,,
,754,-13,7,1,-16,1,-9,-9,-9,-9,-10,4,5,,-4,2,-14,-16,,,,,
,-650,4,1,-1,-8,8,4,21,3,3,-20,-11,-11,-2,-1,-15,-13,-9,,,,,
,1017,-4,-2,-4,8,,9,-4,7,2,9,10,-2,7,7,14,23,-6,,,,,
,-1214,9,3,-3,9,4,-1,2,,-1,6,4,8,1,5,3,7,20,,,,,
,816,7,,-5,-6,-5,-5,-2,-13,3,7,1,,5,18,-8,-2,7,,,,,
,-473,-1,2,-1,10,3,5,-3,3,-9,-2,2,-11,1,-20,1,-7,2,,,,,
,69,-15,-2,-2,-7,-6,-4,-3,,2,3,-7,3,-1,-3,13,-1,,,,,,
,-549,-18,,7,-7,-3,1,-2,2,-6,-11,-5,2,-21,14,-6,6,-17,,,,,
,193,6,-4,-5,1,-7,7,6,-8,11,-6,-8,6,5,-1,10,6,4,,,,,
,271,17,-3,-5,11,7,-3,1,3,-1,13,3,-20,6,-9,-14,-2,-4,,,,,
,-278,-19,7,1,3,1,,-10,5,8,-16,3,10,-2,-9,2,-1,2,,,,,
,-357,-3,3,4,-3,5,5,3,9,3,6,1,9,-2,9,-2,-4,8,,,,,
,662,-13,-2,6,7,2,4,9,8,-12,6,1,,1,-2,12,3,-8,,,,,
,644,-3,7,,4,-10,-13,-4,-5,,-15,1,,-7,4,-3,7,-8,,,,,
,-437,3,2,9,-15,-6,-1,3,-2,11,7,3,-2,6,-6,-14,-13,2,,,,,
,-166,18,1,-1,7,14,6,-5,-10,-6,13,4,2,16,2,3,9,11,,,,,
,321,-15,-18,-6,-5,-12,2,-10,4,-13,-5,-8,-14,-3,-11,-10,,,,,,,
,-240,-3,2,-10,1,5,-5,7,-11,7,,-14,-3,-8,5,3,-15,-8,,,,,
,-311,,3,15,12,4,,5,-6,5,-7,12,10,11,16,4,5,,,,,,
,83,,-12,-4,-17,-12,7,12,6,1,-4,-3,3,-6,-12,1,1,6,,,,,
,-152,-18,,-11,-4,-8,1,6,2,1,-3,-2,-11,-6,2,6,-9,-5,,,,,
,92,19,12,-3,9,5,-9,-23,11,-4,6,10,6,-5,,-3,6,-3,,,,,
,4592,-19,1,5,-7,7,3,-5,-4,-8,1,3,-5,-8,-9,,6,10,,,,,
,-3757,-1,1,10,-1,10,4,9,-1,3,-9,-11,5,3,2,-10,-12,3,,,,,
,-998,2,3,1,5,-1,-1,5,7,13,3,5,10,6,7,3,1,-3,,,,,
,312,,-13,-15,-16,-10,-13,-14,-2,-7,12,5,-5,4,5,7,-4,-2,,,,,
,-313,5,3,8,16,3,5,15,-4,-9,1,,,-1,,10,,1,,,,,
,158,-8,7,7,1,2,2,-3,3,8,3,-3,12,-3,-10,-17,,7,,,,,
,4353,-12,7,-1,-6,14,15,-4,10,4,-5,-7,-15,3,5,7,7,-11,,,,,
