Packet No,App TimeStamp,Sensor TimeStamp,Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),ref (uV),AccX(mg),AccY(mg),AccZ(mg),Event A,Event B
,215,-12,5,-26,479,-4808,,,,,,,,,,,,1,,,,,
,97,-18,401,1135,2474,-828,,,,,,,,,,,,7,,,,,
,4420,3,1770,5279,8219,19672,,,,,,,,,,,,-9,,,,,
,-3855,11,480,1423,1732,8584,,,,,,,,,,,,-4,,,,,
,-1239,-11,38,80,-190,759,,,,,,,,,,,,14,,,,,
,-32,-20,-476,-1288,-1594,-8087,,,,,,,,,,,,-6,,,,,
,614,20,-1818,-5329,-7965,-19840,,,,,,,,,,,,3,,,,,
,-348,-21,-449,-1354,-2506,-497,,,,,,,,,,,,7,,,,,
,-160,,3,17,-448,4231,,,,,,,,,,,,-12,,,,,
,-178,,478,1322,1878,4400,,,,,,,,,,,,6,,,,,
,335,-2,1802,5174,8843,10887,,,,,,,,,,,,-2,,,,,
,443,-4,417,1325,2682,-223,,,,,,,,,,,,-4,,,,,
,-91,22,-15,36,-237,3807,,,,,,,,,,,,9,,,,,
,361,-16,-438,-1221,-2448,991,,,,,,,,,,,,1,,,,,
,-148,-12,-1773,-5157,-8669,-14343,,,,,,,,,,,,-2,,,,,
,-158,5,-437,-1418,-1841,-8890,,,,,,,,,,,,-3,,,,,
,-588,14,-32,-102,466,-4883,,,,,,,,,,,,-4,,,,,
,622,-12,429,1017,1436,6295,,,,,,,,,,,,1,,,,,
,432,-12,1820,5875,9191,22213,,,,,,,,,,,,-10,,,,,
,-1381,6,475,954,947,3548,,,,,,,,,,,,,,,,,
,906,-2,-5,66,586,-3850,,,,,,,,,,,,15,,,,,
,2522,,-477,-1271,-1456,-8218,,,,,,,,,,,,-1,,,,,
,4368,17,-1821,-5207,-8645,-11966,,,,,,,,,,,,1,,,,,
,-3895,-20,-429,-1489,-2910,-416,,,,,,,,,,,,5,,,,,
,-3939,-14,30,332,241,2156,,,,,,,,,,,,-1,,,,,
,365,2,455,985,2117,-1112,,,,,,,,,,,,-2,,,,,
,368,-1,1768,5158,8922,10105,,,,,,,,,,,,-4,,,,,
,-364,-2,425,1487,2136,7885,,,,,,,,,,,,-5,,,,,
