Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Disabled (uV),F3 (uV),Fz (uV),F4 (uV),Disabled (uV),C3 (uV),Cz (uV),C4 (uV),Disabled (uV),P3 (uV),Pz (uV),P4 (uV),Disabled (uV),Disabled (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,-3239,-1,-10,,-5,-9,-2,,-16,-6,-7,,-2,-4,-15,,,9,,,,,
,-519,-16,5,,5,12,12,,9,-16,2,,-5,,-4,,,-4,,,,,
,-645,20,-2,,-9,-4,1,,12,6,3,,-3,2,-8,,,8,,,,,
,540,-16,12,,5,15,3,,-3,22,12,,-1,8,10,,,-9,,,,,
,-67,-6,-10,,5,-3,-14,,-7,-3,-2,,-1,-7,-13,,,-15,,,,,
,3035,3,-10,,-3,-7,-20,,1,-7,-5,,9,-16,5,,,9,,,,,
,-3302,,8,,10,1,15,,-4,4,-3,,-2,17,6,,,12,,,,,
,73,-17,13,,1,-6,12,,1,-10,-2,,2,5,7,,,-11,,,,,
,51,5,-13,,-19,5,-4,,-8,-9,,,-2,-16,-15,,,-2,,,,,
,-64,11,-6,,10,5,3,,7,1,3,,14,13,10,,,-6,,,,,
,-149,2,10,,-3,1,-1,,7,16,7,,5,13,10,,,5,,,,,
,4796,-28,3,,-3,-12,-12,,2,4,-14,,-10,-8,-10,,,3,,,,,
,-3256,-2,5,,-1,-2,2,,5,-7,4,,3,-4,-12,,,10,,,,,
,-2300,-4,-10,,-6,,1,,-10,-14,4,,-10,-11,13,,,2,,,,,
,4110,18,2,,13,10,5,,-4,5,-4,,17,10,16,,,-10,,,,,
,-2807,,6,,-12,8,-5,,10,11,4,,,7,-10,,,5,,,,,
,126,-15,-12,,7,-11,-5,,,-12,-4,,-6,-10,-7,,,-2,,,,,
,-1333,16,3,,5,6,11,,-1,1,7,,,8,13,,,5,,,,,
,504,-18,-2,,-6,-7,6,,-4,-3,-14,,-11,-11,-8,,,5,,,,,
,4515,-3,6,,-4,-3,-10,,-7,4,-1,,6,5,-10,,,-8,,,,,
