Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,745,,,,,,,,,,,-1027,,,,-713,,-20,-8,-6,-10,,
,-423,,,,,,,,,,,319,,,,68,,-38,16,-4,1,,
,2,3,,,,,,,,,,1832,,,,1008,,-4,-17,9,-1,,
,-662,-15,,,,,,,,,,369,,,,112,,40,-13,,-2,,
,198,-44,,,,,,,,,,-1644,,,,-1071,,30,27,6,2,,
,-167,4,,,,,,,,,,-963,,,,-651,,-16,4,-3,8,,
,622,-4,,,,,,,,,,579,,,,320,,-30,-1,9,11,,
,-735,-12,,,,,,,,,,1742,,,,911,,-15,15,3,-14,,
,135,11,,,,,,,,,,445,,,,199,,27,-33,-21,1,,
,-235,2,,,,,,,,,,-1660,,,,-1076,,-2,22,6,-10,,
,332,-31,,,,,,,,,,-1286,,,,-990,,-21,-13,17,15,,
,10,4,,,,,,,,,,535,,,,264,,-18,19,-6,1,,
,124,-3,,,,,,,,,,1906,,,,1080,,3,6,7,-20,,
,-186,-1,,,,,,,,,,337,,,,112,,45,-22,-18,10,,
,-103,-11,,,,,,,,,,-1644,,,,-1069,,2,-1,6,4,,
,864,-20,,,,,,,,,,-908,,,,-611,,-19,-2,-5,,,
,-594,17,,,,,,,,,,674,,,,395,,3,6,14,3,,
,-208,-13,,,,,,,,,,2002,,,,1168,,-8,8,-19,2,,
,-612,,,,,,,,,,,118,,,,-94,,3,-9,8,4,,
,-103,-4,,,,,,,,,,-1910,,,,-1329,,18,-4,6,-12,,
,1659,-12,,,,,,,,,,-972,,,,-688,,3,-5,-16,7,,
,-1529,-21,,,,,,,,,,448,,,,163,,-63,8,18,11,,
