Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Right arm 1 (uV),Right arm 2 (uV),Left leg (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
1867,7901976,492228385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.66605,1.7433,-14.3934,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
,-427,,,,,,,,,,13,6,7,,,,,,,,,,
,-441,-14,,,,,,,,,-8,-4,-3,,,,,,,,,,
,-93,-1,,,,,,,,,5,13,1,,,,,,,,,,
,179,2,,,,,,,,,-10,-14,-3,,,,,,,,,,
,-175,12,,,,,,,,,-4,1,,,,,,,,,,,
,50,-13,,,,,,,,,6,12,-7,,,,,,,,,,
,-24,,,,,,,,,,-14,6,-5,,,,,,,,,,
,259,6,,,,,,,,,9,,-1,,,,,,,,,,
,-233,-21,,,,,,,,,-2,-17,7,,,,,,,,,,
,-292,-3,,,,,,,,,-1,-13,-1,,,,,,,,,,
,38,17,,,,,,,,,8,9,-7,,,,,,,,,,
,374,-17,,,,,,,,,6,5,7,,,,,,,,,,
,-384,-1,,,,,,,,,4,16,4,,,,,,,,,,
,987,-10,,,,,,,,,1,-13,-3,,,,,,,,,,
,-915,-1,,,,,,,,,-10,-7,-8,,,,,,,,,,
,536,12,,,,,,,,,-6,7,6,,,,,,,,,,
,-501,-12,,,,,,,,,-4,-4,-1,,,,,,,,,,
,964,,,,,,,,,,16,-3,-7,,,,,,,,,,
,-354,1,,,,,,,,,-2,12,11,,,,,,,,,,
,1058,-31,,,,,,,,,-10,-11,9,,,,,,,,,,
,-1043,-2,,,,,,,,,1,3,-9,,,,,,,,,,
,239,3,,,,,,,,,-2,3,2,,,,,,,,,,
,222,11,,,,,,,,,-7,-2,3,,,,,,,,,,
,-386,-2,,,,,,,,,,,-3,,,,,,,,,,
,135,-10,,,,,,,,,1,10,-8,,,,,,,,,,
,-36,9,,,,,,,,,12,-14,13,,,,,,,,,,
,2300,-9,,,,,,,,,10,12,-2,,,,,,,,,,
,-1975,-5,,,,,,,,,-7,-24,-3,,,,,,,,,,
,-212,5,,,,,,,,,,4,-7,,,,,,,,,,
,207,-31,,,,,,,,,-20,4,13,,,,,,,,,,
,-331,11,,,,,,,,,3,3,-6,,,,,,,,,,
,-261,,,,,,,,,,14,3,1,,,,,,,,,,
,108,-11,,,,,,,,,,-4,,,,,,,,,,,
,353,29,,,,,,,,,6,9,-7,,,,,,,,,,
,-312,-27,,,,,,,,,-8,2,3,,,,,,,,,,
,-102,-1,,,,,,,,,,-7,3,,,,,,,,,,
,727,-20,,,,,,,,,6,-2,-3,,,,,,,,,,
,-487,20,,,,,,,,,-1,11,-11,,,,,,,,,,
,-50,-32,,,,,,,,,4,-3,7,,,,,,,,,,
,663,12,,,,,,,,,-5,-7,,,,,,,,,,,
,-132,-1,,,,,,,,,-10,3,-5,,,,,,,,,,
,-580,-10,,,,,,,,,13,-3,8,,,,,,,,,,
,-408,11,,,,,,,,,-2,,-9,,,,,,,,,,
,2293,,,,,,,,,,-11,6,4,,,,,,,,,,
,-1871,-26,,,,,,,,,4,-13,-3,,,,,,,,,,
,75,-7,,,,,,,,,5,2,,,,,,,,,,,
,999,22,,,,,,,,,4,12,8,,,,,,,,,,
,-742,-31,,,,,,,,,1,5,-2,,,,,,,,,,
,-346,11,,,,,,,,,,-8,-1,,,,,,,,,,
,-268,-10,,,,,,,,,-6,2,,,,,,,,,,,
,218,-2,,,,,,,,,1,-6,6,,,,,,,,,,
,-4,10,,,,,,,,,3,2,1,,,,,,,,,,
,88,-9,,,,,,,,,-13,-8,-1,,,,,,,,,,
,-12,-20,,,,,,,,,4,1,-6,,,,,,,,,,
,484,-2,,,,,,,,,6,9,,,,,,,,,,,
,-963,23,,,,,,,,,-2,,-1,,,,,,,,,,
,706,-32,,,,,,,,,-6,-8,13,,,,,,,,,,
,-363,12,,,,,,,,,-2,4,,,,,,,,,,,
,779,19,,,,,,,,,7,4,-12,,,,,,,,,,
,-1167,-30,,,,,,,,,,4,5,,,,,,,,,,
,669,11,,,,,,,,,2,-9,2,,,,,,,,,,
,217,-11,,,,,,,,,-2,-6,-7,,,,,,,,,,
,-17,,,,,,,,,,10,6,,,,,,,,,,,
,-25,-23,,,,,,,,,2,-5,2,,,,,,,,,,
,224,23,,,,,,,,,-2,-7,-2,,,,,,,,,,
,-275,-3,,,,,,,,,-9,15,-2,,,,,,,,,,
,-482,-30,,,,,,,,,1,4,8,,,,,,,,,,
,1998,19,,,,,,,,,-4,-10,-1,,,,,,,,,,
,-1614,12,,,,,,,,,4,5,1,,,,,,,,,,
,-264,-21,,,,,,,,,-4,5,-1,,,,,,,,,,
,336,3,,,,,,,,,,1,-3,,,,,,,,,,
,957,-12,,,,,,,,,-1,,7,,,,,,,,,,
,-1891,,,,,,,,,,-2,13,7,,,,,,,,,,
,-655,2,,,,,,,,,-1,-6,-13,,,,,,,,,,
,-152,-34,,,,,,,,,8,-5,5,,,,,,,,,,
,81,12,,,,,,,,,-5,-8,8,,,,,,,,,,
,368,-11,,,,,,,,,3,1,-5,,,,,,,,,,
,2940,12,,,,,,,,,2,-4,-5,,,,,,,,,,
,-3004,3,,,,,,,,,-4,-2,8,,,,,,,,,,
,-343,-1,,,,,,,,,4,4,-9,,,,,,,,,,
,-68,-12,,,,,,,,,4,-11,-3,,,,,,,,,,
,73,-23,,,,,,,,,-11,6,-1,,,,,,,,,,
,120,3,,,,,,,,,5,8,4,,,,,,,,,,
,-4,18,,,,,,,,,3,-11,,,,,,,,,,,
,993,-31,,,,,,,,,-12,-6,4,,,,,,,,,,
,-967,1,,,,,,,,,9,12,-1,,,,,,,,,,
,-60,12,,,,,,,,,9,4,-8,,,,,,,,,,
,-244,-11,,,,,,,,,-7,4,7,,,,,,,,,,
,162,10,,,,,,,,,-7,-3,-2,,,,,,,,,,
,-7,-10,,,,,,,,,-1,,-4,,,,,,,,,,
,156,,,,,,,,,,1,-12,6,,,,,,,,,,
,215,-12,,,,,,,,,,-3,4,,,,,,,,,,
,-243,-9,,,,,,,,,-7,4,-9,,,,,,,,,,
,-311,-3,,,,,,,,,-3,-6,-3,,,,,,,,,,
