Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Right arm 1 (uV),Right arm 2 (uV),Left leg (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
1867,7901976,492228385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.66605,1.7433,-14.3934,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
,-609,11,,,,,,,,,-1,5,,,,,,,,,,,
,1053,-11,,,,,,,,,10,3,-6,,,,,,,,,,
,-1258,-13,,,,,,,,,6,1,2,,,,,,,,,,
,1202,-14,,,,,,,,,7,18,-1,,,,,,,,,,
,343,-4,,,,,,,,,-13,,3,,,,,,,,,,
,-1773,4,,,,,,,,,,-8,-3,,,,,,,,,,
,936,13,,,,,,,,,3,11,1,,,,,,,,,,
,-102,-4,,,,,,,,,-6,-4,-11,,,,,,,,,,
,762,-13,,,,,,,,,2,-24,6,,,,,,,,,,
,1242,,,,,,,,,,10,-6,11,,,,,,,,,,
,-2436,7,,,,,,,,,-14,9,-5,,,,,,,,,,
,782,-24,,,,,,,,,5,11,-7,,,,,,,,,,
,1102,,,,,,,,,,6,-1,4,,,,,,,,,,
,-1698,,,,,,,,,,-14,-8,11,,,,,,,,,,
,-64,,,,,,,,,,-2,21,-5,,,,,,,,,,
,77,-9,,,,,,,,,2,11,13,,,,,,,,,,
,579,,,,,,,,,,3,-12,-5,,,,,,,,,,
,111,9,,,,,,,,,5,-11,-8,,,,,,,,,,
,19,-10,,,,,,,,,8,-5,5,,,,,,,,,,
,111,,,,,,,,,,-3,3,-12,,,,,,,,,,
,416,-18,,,,,,,,,-7,3,12,,,,,,,,,,
,-542,18,,,,,,,,,4,1,-5,,,,,,,,,,
,2596,-19,,,,,,,,,8,11,-6,,,,,,,,,,
,-2821,-12,,,,,,,,,1,-7,-1,,,,,,,,,,
,-567,16,,,,,,,,,1,-1,5,,,,,,,,,,
,609,-4,,,,,,,,,-14,1,6,,,,,,,,,,
,-530,5,,,,,,,,,-10,-9,-8,,,,,,,,,,
,110,-14,,,,,,,,,5,11,-2,,,,,,,,,,
,1213,-24,,,,,,,,,10,-2,8,,,,,,,,,,
,-1463,22,,,,,,,,,-13,,-9,,,,,,,,,,
,-76,-18,,,,,,,,,14,-4,2,,,,,,,,,,
,-65,-4,,,,,,,,,-11,-11,-7,,,,,,,,,,
,-92,18,,,,,,,,,4,-9,6,,,,,,,,,,
,449,-18,,,,,,,,,-11,17,-2,,,,,,,,,,
,-261,,,,,,,,,,19,5,5,,,,,,,,,,
,567,,,,,,,,,,7,1,4,,,,,,,,,,
,230,,,,,,,,,,-1,9,-3,,,,,,,,,,
,-67,-26,,,,,,,,,-9,-13,-5,,,,,,,,,,
,-358,21,,,,,,,,,8,4,12,,,,,,,,,,
,-472,-21,,,,,,,,,2,7,8,,,,,,,,,,
,398,-5,,,,,,,,,-17,,-10,,,,,,,,,,
,51,18,,,,,,,,,6,3,-9,,,,,,,,,,
,178,-19,,,,,,,,,1,-23,1,,,,,,,,,,
,3115,6,,,,,,,,,-7,4,-4,,,,,,,,,,
,-3061,,,,,,,,,,-2,3,9,,,,,,,,,,
,-233,-5,,,,,,,,,-7,-3,5,,,,,,,,,,
,126,,,,,,,,,,22,1,-8,,,,,,,,,,
,-567,,,,,,,,,,-11,10,-2,,,,,,,,,,
,537,-30,,,,,,,,,-14,-7,-11,,,,,,,,,,
,83,,,,,,,,,,6,3,5,,,,,,,,,,
,781,4,,,,,,,,,14,1,8,,,,,,,,,,
,-209,5,,,,,,,,,6,-12,,,,,,,,,,,
,-1078,-14,,,,,,,,,-9,-3,2,,,,,,,,,,
,403,-8,,,,,,,,,-12,7,-14,,,,,,,,,,
,-432,3,,,,,,,,,6,10,5,,,,,,,,,,
,316,10,,,,,,,,,6,-6,8,,,,,,,,,,
,1517,-13,,,,,,,,,,-4,-10,,,,,,,,,,
,-2084,-22,,,,,,,,,1,1,-3,,,,,,,,,,
,585,3,,,,,,,,,-4,,5,,,,,,,,,,
,-239,1,,,,,,,,,-4,-5,5,,,,,,,,,,
,-17,-10,,,,,,,,,5,3,2,,,,,,,,,,
,-326,10,,,,,,,,,-7,-1,-2,,,,,,,,,,
,874,,,,,,,,,,5,3,2,,,,,,,,,,
,-669,3,,,,,,,,,-1,,,,,,,,,,,,
,-284,-3,,,,,,,,,,3,-3,,,,,,,,,,
,735,,,,,,,,,,6,-6,6,,,,,,,,,,
,-624,-52,,,,,,,,,6,2,5,,,,,,,,,,
,-432,44,,,,,,,,,,11,-3,,,,,,,,,,
,4273,-1,,,,,,,,,-8,3,,,,,,,,,,,
,-3121,-1,,,,,,,,,1,-1,-7,,,,,,,,,,
