Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,-2057,-5,-3,-1,-15,-4,-5,6,,-25,13,3,11,-6,1,-1,10,-6,,,,,
,62,-3,-6,-1,,3,-6,11,-9,6,-3,-16,-14,-5,-8,-4,-12,-17,,,,,
,-198,7,1,7,-3,,-4,-19,7,-8,-3,9,12,10,-4,9,-11,10,,,,,
,-301,,1,2,8,-2,-13,-2,-3,9,-21,10,-3,8,11,1,6,9,,,,,
,280,6,2,2,-9,-7,10,15,2,-2,7,-1,2,9,4,-4,2,-1,,,,,
,-70,2,9,-2,-2,8,,-11,10,4,-1,-7,6,-3,-5,-5,6,2,,,,,
,1218,,-6,-9,1,-6,1,6,4,1,3,2,-9,-8,,-2,-10,,,,,,
,-1411,-1,,5,7,-2,1,-6,-6,5,-3,-9,-3,-10,-9,7,6,5,,,,,
,730,-31,,4,3,14,4,,7,-5,10,-3,3,9,6,,16,4,,,,,
,69,2,7,-9,-10,-5,2,,-5,-14,-5,2,-11,2,3,-3,-7,-19,,,,,
,3858,16,-6,7,10,-11,-3,,-12,3,-6,-7,6,-7,-3,9,-1,6,,,,,
,-3742,2,-4,2,6,12,-5,1,5,15,4,10,,14,7,-8,-10,1,,,,,
,-468,-19,8,2,-4,3,-1,6,-6,,8,-4,-7,-7,-14,-3,10,14,,,,,
,52,,5,-3,-10,-20,2,-2,-2,-8,-21,-1,7,-5,2,-9,-5,-1,,,,,
,78,1,1,-8,5,4,-9,-6,5,-6,-1,7,4,12,3,20,-5,-10,,,,,
,-606,,-7,5,-1,6,2,,-12,-6,4,-1,-5,-10,2,-7,11,-4,,,,,
,635,-1,-7,3,4,1,14,8,-5,2,17,10,3,12,11,11,-8,-4,,,,,
,165,,1,7,5,5,3,-3,18,9,-7,-2,5,-4,-6,-9,-5,1,,,,,
,-208,1,3,,-7,-2,-6,-4,1,8,-2,-11,-3,-2,-10,,5,-1,,,,,
,-379,,6,-8,6,-1,7,6,11,-7,3,2,3,2,-2,12,5,-8,,,,,
,1604,,-3,4,,1,5,4,-5,-1,-3,-3,-1,-12,,1,3,11,,,,,
,-1339,,-5,3,6,1,-10,10,-5,6,-8,4,-6,-3,,-19,-4,-1,,,,,
,328,,-2,-12,-5,-11,-2,-15,-7,-17,8,-9,,6,2,-10,4,6,,,,,
,447,,8,-14,-12,-2,3,-1,-3,-5,2,-3,1,14,10,1,-10,1,,,,,
,-295,,-6,6,-2,9,-8,,12,6,3,10,2,6,7,9,12,7,,,,,
,-617,,-4,10,10,,8,,-4,4,-1,-2,-6,-20,-4,,-4,-17,,,,,
,401,,4,-7,,-1,,-7,-7,3,,,,-9,-5,11,-3,14,,,,,
,-589,-34,1,10,-5,-2,-8,3,9,6,2,-4,2,5,-7,-5,-3,-12,,,,,
,181,1,-7,-3,-4,-3,18,4,-2,-11,-9,7,6,3,12,7,-4,9,,,,,
,826,33,3,-4,3,2,-9,1,2,-6,3,-2,5,-5,-16,-7,5,-10,,,,,
,-431,1,1,6,-2,1,-1,-4,5,6,,-7,1,-5,6,-8,-5,-6,,,,,
,271,-34,-5,-9,-11,-2,-10,-4,-8,-3,12,9,1,7,11,7,6,10,,,,,
,-636,-14,4,5,5,,-3,7,8,14,2,6,-3,1,-7,-7,-7,-6,,,,,
,356,-1,8,15,16,10,13,5,-7,1,-19,-9,-3,1,-5,2,5,5,,,,,
,497,15,4,-4,2,-5,-3,-4,-6,-9,-8,3,-9,-9,8,2,3,2,,,,,
,-930,-14,-5,6,-10,-4,-6,-5,7,6,,5,-3,-5,-8,3,-1,-8,,,,,
,2563,14,-4,-4,1,-10,1,4,-7,1,14,-7,6,20,5,-1,8,11,,,,,
,-3083,,1,-8,-10,1,1,10,6,-1,6,4,2,-2,5,-3,1,7,,,,,
,1189,-11,-5,3,14,10,,-3,7,-6,-2,4,-4,1,-5,13,-1,-12,,,,,
,-524,-3,,6,1,5,1,-6,-1,12,-5,6,4,,7,-1,5,3,,,,,
,-629,,9,1,-2,,6,-11,4,,-4,,14,-3,6,-17,-13,1,,,,,
,886,3,4,-3,-7,-3,-5,12,7,-4,5,-9,-2,-1,-10,-6,1,3,,,,,
,-941,-22,-11,-10,11,9,,-1,-22,-4,1,1,-23,-1,-5,11,4,2,,,,,
,234,-3,-6,-4,3,-7,-10,-5,-8,-9,-7,4,-1,6,9,5,1,,,,,,
,487,25,8,5,-11,2,-5,4,,-1,7,-7,7,-1,-9,1,-2,3,,,,,
,-37,-20,1,5,2,-6,10,2,5,6,-5,1,,1,3,3,4,-7,,,,,
,-695,,10,7,-2,-5,5,3,16,5,,-1,3,7,-2,1,1,-3,,,,,
,472,,-2,,2,12,,-13,-8,-3,-6,2,-7,-4,2,-14,-14,-8,,,,,
,-270,,-11,-10,-4,-2,1,-1,-3,-8,-1,,11,-6,4,19,-2,3,,,,,
,554,,5,10,16,2,,14,5,6,,-16,7,-1,-8,1,9,12,,,,,
,-49,-10,5,-6,-7,8,6,-3,8,4,-1,18,-14,-5,-2,-14,4,4,,,,,
,538,16,8,8,1,5,-3,4,-15,-3,19,-2,-17,3,5,2,5,-7,,,,,
,-1298,-2,-13,2,-3,-20,-7,4,-8,8,-11,-9,12,8,-2,-7,-3,-1,,,,,
,304,,-3,-8,1,3,16,-2,5,4,-3,4,12,3,-4,-3,-5,-3,,,,,
,-224,-4,8,,-5,7,-1,-8,10,-2,6,1,-7,-5,2,10,,-5,,,,,
,103,3,-7,-4,-4,-21,-12,5,-6,-14,-1,17,-3,7,-3,-9,2,2,,,,,
,560,-3,-6,-7,8,-7,-5,-13,-1,,5,-5,10,-6,,7,2,-4,,,,,
,-511,-1,-6,7,1,9,6,8,7,6,6,1,,-4,2,1,-1,,,,,,
,271,-9,10,-4,2,1,-11,6,5,11,,-15,-5,6,,5,-3,-1,,,,,
,-84,-22,5,9,7,14,3,-8,,-7,-11,3,-10,2,-2,-8,2,1,,,,,
,86,22,-6,-7,-5,-1,9,7,-3,-2,5,7,-2,-6,-1,4,1,7,,,,,
,-394,-3,2,5,-8,-2,1,-2,-10,1,8,-1,15,-7,7,-9,6,-7,,,,,
,1874,,6,-8,-4,,-5,-11,-7,-2,-10,-8,9,9,-2,7,4,-2,,,,,
,-297,-18,-5,2,-3,-5,-4,6,2,-5,2,6,-2,4,11,3,1,12,,,,,
