Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Cz (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,538,9,,,,,,,,-1,,,,,,,,-7,,,,,
,-682,-9,,,,,,,,-9,,,,,,,,-3,,,,,
,1161,19,,,,,,,,-10,,,,,,,,-4,,,,,
,-1355,-22,,,,,,,,12,,,,,,,,-3,,,,,
,486,-9,,,,,,,,15,,,,,,,,5,,,,,
,490,-4,,,,,,,,-13,,,,,,,,11,,,,,
,582,17,,,,,,,,4,,,,,,,,-8,,,,,
,-726,-1,,,,,,,,-5,,,,,,,,8,,,,,
,-917,-3,,,,,,,,7,,,,,,,,-3,,,,,
,668,-31,,,,,,,,-8,,,,,,,,-10,,,,,
,2746,-1,,,,,,,,-6,,,,,,,,-6,,,,,
,-2582,4,,,,,,,,-2,,,,,,,,4,,,,,
,-302,-3,,,,,,,,4,,,,,,,,-7,,,,,
,815,-13,,,,,,,,11,,,,,,,,6,,,,,
,-374,13,,,,,,,,3,,,,,,,,13,,,,,
,-57,,,,,,,,,-13,,,,,,,,-2,,,,,
,-187,-13,,,,,,,,,,,,,,,,5,,,,,
,-379,13,,,,,,,,,,,,,,,,-11,,,,,
,583,-30,,,,,,,,-5,,,,,,,,-9,,,,,
,2810,17,,,,,,,,18,,,,,,,,12,,,,,
,-3713,7,,,,,,,,-5,,,,,,,,-5,,,,,
,515,-24,,,,,,,,-23,,,,,,,,9,,,,,
,-144,8,,,,,,,,20,,,,,,,,-3,,,,,
,379,-21,,,,,,,,20,,,,,,,,,,,,,
,-170,,,,,,,,,-9,,,,,,,,7,,,,,
,691,13,,,,,,,,-15,,,,,,,,-1,,,,,
,-64,-2,,,,,,,,4,,,,,,,,2,,,,,
,-333,2,,,,,,,,9,,,,,,,,-6,,,,,
,142,-31,,,,,,,,,,,,,,,,-5,,,,,
,-525,-4,,,,,,,,-10,,,,,,,,4,,,,,
,927,4,,,,,,,,-3,,,,,,,,4,,,,,
,-490,18,,,,,,,,-1,,,,,,,,-2,,,,,
,-419,-19,,,,,,,,7,,,,,,,,-1,,,,,
,414,6,,,,,,,,-7,,,,,,,,-2,,,,,
,-579,-15,,,,,,,,-9,,,,,,,,1,,,,,
,1585,9,,,,,,,,7,,,,,,,,3,,,,,
,1813,-8,,,,,,,,-7,,,,,,,,,,,,,
,-2248,,,,,,,,,9,,,,,,,,-3,,,,,
,-1177,-45,,,,,,,,,,,,,,,,,,,,,
,2327,2,,,,,,,,16,,,,,,,,,,,,,
,-2340,-2,,,,,,,,-13,,,,,,,,5,,,,,
,688,29,,,,,,,,-3,,,,,,,,-10,,,,,
,-674,-37,,,,,,,,2,,,,,,,,-4,,,,,
,-263,-2,,,,,,,,-1,,,,,,,,11,,,,,
,718,12,,,,,,,,-12,,,,,,,,-2,,,,,
,88,27,,,,,,,,2,,,,,,,,-3,,,,,
,-465,-27,,,,,,,,17,,,,,,,,,,,,,
,70,-24,,,,,,,,8,,,,,,,,9,,,,,
,77,-8,,,,,,,,9,,,,,,,,,,,,,
,-348,21,,,,,,,,-13,,,,,,,,-8,,,,,
,232,-1,,,,,,,,5,,,,,,,,1,,,,,
,-281,-32,,,,,,,,-6,,,,,,,,-4,,,,,
,1827,2,,,,,,,,-3,,,,,,,,-4,,,,,
,-1367,9,,,,,,,,2,,,,,,,,3,,,,,
,835,-10,,,,,,,,-5,,,,,,,,1,,,,,
,34,1,,,,,,,,-12,,,,,,,,5,,,,,
,91,,,,,,,,,15,,,,,,,,,,,,,
,-494,-21,,,,,,,,7,,,,,,,,1,,,,,
,-240,19,,,,,,,,-7,,,,,,,,-3,,,,,
,-591,2,,,,,,,,-14,,,,,,,,-3,,,,,
,457,-20,,,,,,,,,,,,,,,,11,,,,,
,47,-1,,,,,,,,11,,,,,,,,2,,,,,
,283,,,,,,,,,-1,,,,,,,,-7,,,,,
,-744,-10,,,,,,,,-3,,,,,,,,-10,,,,,
,583,-1,,,,,,,,-1,,,,,,,,5,,,,,
,-313,1,,,,,,,,5,,,,,,,,-2,,,,,
,-218,,,,,,,,,11,,,,,,,,,,,,,
,-28,-21,,,,,,,,3,,,,,,,,-2,,,,,
,-175,21,,,,,,,,1,,,,,,,,9,,,,,
,-347,-21,,,,,,,,-27,,,,,,,,-3,,,,,
,5744,-10,,,,,,,,23,,,,,,,,5,,,,,
,-2989,22,,,,,,,,-9,,,,,,,,2,,,,,
,-2348,-7,,,,,,,,-3,,,,,,,,-5,,,,,
,17,-4,,,,,,,,1,,,,,,,,10,,,,,
,904,-12,,,,,,,,-4,,,,,,,,1,,,,,
,-788,,,,,,,,,3,,,,,,,,-21,,,,,
,-321,1,,,,,,,,-3,,,,,,,,-4,,,,,
,1415,-6,,,,,,,,24,,,,,,,,11,,,,,
,-648,-14,,,,,,,,6,,,,,,,,-1,,,,,
,-546,20,,,,,,,,-15,,,,,,,,-3,,,,,
,1679,-32,,,,,,,,-25,,,,,,,,,,,,,
,-1573,2,,,,,,,,7,,,,,,,,7,,,,,
,-160,10,,,,,,,,3,,,,,,,,9,,,,,
,-677,-11,,,,,,,,7,,,,,,,,-18,,,,,
,12,11,,,,,,,,5,,,,,,,,-7,,,,,
,2047,-11,,,,,,,,-10,,,,,,,,11,,,,,
,-1576,1,,,,,,,,,,,,,,,,3,,,,,
,305,,,,,,,,,9,,,,,,,,,,,,,
,-40,-1,,,,,,,,-3,,,,,,,,,,,,,
,52,-20,,,,,,,,-11,,,,,,,,2,,,,,
,333,9,,,,,,,,-10,,,,,,,,-4,,,,,
,60,-20,,,,,,,,5,,,,,,,,15,,,,,
,-424,1,,,,,,,,18,,,,,,,,-8,,,,,
,-536,9,,,,,,,,12,,,,,,,,-3,,,,,
,821,-10,,,,,,,,-7,,,,,,,,6,,,,,
,460,10,,,,,,,,-12,,,,,,,,-4,,,,,
,-554,-9,,,,,,,,-14,,,,,,,,-11,,,,,
,921,-15,,,,,,,,1,,,,,,,,12,,,,,
,-1149,14,,,,,,,,12,,,,,,,,10,,,,,
,196,-31,,,,,,,,6,,,,,,,,-4,,,,,
,629,1,,,,,,,,-8,,,,,,,,-6,,,,,
,430,11,,,,,,,,5,,,,,,,,-8,,,,,
,-1531,-11,,,,,,,,8,,,,,,,,-2,,,,,
,1669,,,,,,,,,4,,,,,,,,15,,,,,
,-1757,-2,,,,,,,,-26,,,,,,,,3,,,,,
,485,3,,,,,,,,8,,,,,,,,2,,,,,
,73,-4,,,,,,,,5,,,,,,,,-8,,,,,
,140,4,,,,,,,,16,,,,,,,,-9,,,,,
,142,-34,,,,,,,,-7,,,,,,,,2,,,,,
,-546,11,,,,,,,,-6,,,,,,,,8,,,,,
,-185,1,,,,,,,,-8,,,,,,,,10,,,,,
,-173,1,,,,,,,,-5,,,,,,,,-12,,,,,
,700,,,,,,,,,10,,,,,,,,-2,,,,,
,591,,,,,,,,,13,,,,,,,,9,,,,,
,-1064,-10,,,,,,,,-10,,,,,,,,6,,,,,
,68,-2,,,,,,,,-19,,,,,,,,-17,,,,,
,31,2,,,,,,,,5,,,,,,,,-9,,,,,
,-437,-21,,,,,,,,13,,,,,,,,7,,,,,
,603,-1,,,,,,,,3,,,,,,,,9,,,,,
,278,2,,,,,,,,1,,,,,,,,-10,,,,,
,-530,-11,,,,,,,,-6,,,,,,,,5,,,,,
,572,2,,,,,,,,-9,,,,,,,,7,,,,,
,-1088,9,,,,,,,,10,,,,,,,,-12,,,,,
,-85,-11,,,,,,,,14,,,,,,,,-14,,,,,
,1236,-23,,,,,,,,-8,,,,,,,,17,,,,,
,-416,22,,,,,,,,-6,,,,,,,,5,,,,,
,-208,-19,,,,,,,,-11,,,,,,,,-11,,,,,
,279,18,,,,,,,,10,,,,,,,,-4,,,,,
,513,-12,,,,,,,,10,,,,,,,,15,,,,,
,-572,-4,,,,,,,,-13,,,,,,,,-14,,,,,
,-162,-1,,,,,,,,-5,,,,,,,,4,,,,,
,-227,-12,,,,,,,,1,,,,,,,,1,,,,,
,620,,,,,,,,,20,,,,,,,,-2,,,,,
,-960,,,,,,,,,-3,,,,,,,,4,,,,,
,1385,,,,,,,,,1,,,,,,,,-1,,,,,
,-147,-2,,,,,,,,-1,,,,,,,,-1,,,,,
,508,3,,,,,,,,-6,,,,,,,,5,,,,,
,-1564,-3,,,,,,,,2,,,,,,,,-6,,,,,
,3329,-31,,,,,,,,-5,,,,,,,,-10,,,,,
,-1383,3,,,,,,,,-3,,,,,,,,14,,,,,
,-1734,-1,,,,,,,,-5,,,,,,,,-6,,,,,
,596,1,,,,,,,,16,,,,,,,,,,,,,
,-24,10,,,,,,,,9,,,,,,,,-1,,,,,
,-992,-11,,,,,,,,-16,,,,,,,,4,,,,,
,1328,-20,,,,,,,,-22,,,,,,,,4,,,,,
,68,21,,,,,,,,23,,,,,,,,1,,,,,
,-1071,-21,,,,,,,,-7,,,,,,,,-3,,,,,
,745,11,,,,,,,,10,,,,,,,,2,,,,,
,-596,-23,,,,,,,,-2,,,,,,,,6,,,,,
,355,12,,,,,,,,-23,,,,,,,,-5,,,,,
,-940,-10,,,,,,,,10,,,,,,,,-6,,,,,
,680,10,,,,,,,,2,,,,,,,,-1,,,,,
,306,-10,,,,,,,,4,,,,,,,,7,,,,,
,-613,,,,,,,,,8,,,,,,,,-8,,,,,
,579,-10,,,,,,,,-6,,,,,,,,-5,,,,,
,-287,3,,,,,,,,6,,,,,,,,2,,,,,
,140,-16,,,,,,,,,,,,,,,,18,,,,,
,-318,13,,,,,,,,6,,,,,,,,-6,,,,,
,-9,-1,,,,,,,,-13,,,,,,,,-1,,,,,
,1299,10,,,,,,,,-2,,,,,,,,-2,,,,,
,-936,-1,,,,,,,,-7,,,,,,,,-2,,,,,
,-453,-27,,,,,,,,20,,,,,,,,4,,,,,
,990,17,,,,,,,,8,,,,,,,,4,,,,,
,-148,-2,,,,,,,,-2,,,,,,,,-5,,,,,
,1662,1,,,,,,,,-4,,,,,,,,-3,,,,,
,-2204,-17,,,,,,,,-8,,,,,,,,-6,,,,,
,-666,,,,,,,,,2,,,,,,,,10,,,,,
,840,,,,,,,,,6,,,,,,,,-5,,,,,
,377,1,,,,,,,,-6,,,,,,,,8,,,,,
,-694,-1,,,,,,,,,,,,,,,,-1,,,,,
,2343,-47,,,,,,,,-4,,,,,,,,-2,,,,,
,-2994,20,,,,,,,,1,,,,,,,,-4,,,,,
,938,4,,,,,,,,-6,,,,,,,,,,,,,
,1283,-23,,,,,,,,9,,,,,,,,-11,,,,,
,-2140,5,,,,,,,,,,,,,,,,6,,,,,
,2522,-18,,,,,,,,-14,,,,,,,,16,,,,,
,-2287,18,,,,,,,,,,,,,,,,-5,,,,,
,530,-5,,,,,,,,14,,,,,,,,3,,,,,
,-388,1,,,,,,,,-7,,,,,,,,5,,,,,
,-197,-15,,,,,,,,-8,,,,,,,,-12,,,,,
,1677,6,,,,,,,,5,,,,,,,,-1,,,,,
,-1341,-22,,,,,,,,-4,,,,,,,,10,,,,,
,152,17,,,,,,,,15,,,,,,,,-17,,,,,
,191,-17,,,,,,,,-4,,,,,,,,-1,,,,,
,239,1,,,,,,,,-4,,,,,,,,5,,,,,
,-417,-13,,,,,,,,18,,,,,,,,7,,,,,
,-27,-4,,,,,,,,-11,,,,,,,,-7,,,,,
,-327,6,,,,,,,,-2,,,,,,,,-7,,,,,
,555,12,,,,,,,,3,,,,,,,,13,,,,,
,-352,-2,,,,,,,,,,,,,,,,10,,,,,
,404,-31,,,,,,,,-1,,,,,,,,-4,,,,,
,-520,3,,,,,,,,-7,,,,,,,,-4,,,,,
,-149,14,,,,,,,,17,,,,,,,,10,,,,,
,210,-16,,,,,,,,-13,,,,,,,,-7,,,,,
,599,15,,,,,,,,-14,,,,,,,,-13,,,,,
,-578,-26,,,,,,,,18,,,,,,,,10,,,,,
,1641,-1,,,,,,,,1,,,,,,,,-10,,,,,
,-1723,7,,,,,,,,14,,,,,,,,3,,,,,
,723,-10,,,,,,,,-22,,,,,,,,11,,,,,
,-256,3,,,,,,,,-3,,,,,,,,-10,,,,,
,-268,-20,,,,,,,,19,,,,,,,,3,,,,,
,96,21,,,,,,,,1,,,,,,,,2,,,,,
,-290,1,,,,,,,,-3,,,,,,,,-11,,,,,
,-320,-19,,,,,,,,-9,,,,,,,,1,,,,,
,595,-1,,,,,,,,7,,,,,,,,9,,,,,
,23,12,,,,,,,,7,,,,,,,,9,,,,,
,57,-13,,,,,,,,-17,,,,,,,,-5,,,,,
,-228,1,,,,,,,,1,,,,,,,,2,,,,,
,-33,,,,,,,,,1,,,,,,,,3,,,,,
,603,-18,,,,,,,,2,,,,,,,,-15,,,,,
,-310,1,,,,,,,,8,,,,,,,,-6,,,,,
,-253,-7,,,,,,,,-6,,,,,,,,4,,,,,
,-608,8,,,,,,,,-9,,,,,,,,13,,,,,
,488,,,,,,,,,5,,,,,,,,-13,,,,,
,116,-1,,,,,,,,3,,,,,,,,-5,,,,,
,246,-28,,,,,,,,-13,,,,,,,,8,,,,,
,619,28,,,,,,,,7,,,,,,,,-7,,,,,
,-1321,-27,,,,,,,,9,,,,,,,,13,,,,,
,391,26,,,,,,,,-13,,,,,,,,3,,,,,
,2391,-26,,,,,,,,14,,,,,,,,-4,,,,,
,-2509,19,,,,,,,,2,,,,,,,,10,,,,,
,99,-39,,,,,,,,1,,,,,,,,-2,,,,,
,-663,23,,,,,,,,-3,,,,,,,,-10,,,,,
,2410,-21,,,,,,,,-15,,,,,,,,-3,,,,,
